biomarker,variable_name,primary_pathway,secondary_pathway,demographic,phase,min_age,max_age,operator,low_value,high_value,qualitative_value,label,color,optimal_range,units,diagnosis,superclinic_code,remark,Description,Source
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,MALE,ALL,10,120,between,0.2,1.38,,OPTIMAL,GREEN,0.2-1.38,ng/mL,,17OH_OPTIMAL,"Optimal levels reflect balanced adrenal enzyme activity and efficient steroidogenesis. This indicates that both cortisol and androgen pathways are functioning properly, supporting METABOLIC HEALTH stability, energy production, immune regulation, and reproductive health. It suggests adequate enzymatic conversion without excess precursor accumulation.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,MALE,ALL,10,120,lt,,0.2,,LOW,ORANGE,0.2-1.38,ng/mL,ADRENAL INSUFFICIENCY,17OH_LOW,"Low 17-OHP suggests reduced adrenal output or insufficient precursor availability for cortisol and androgen synthesis. It may indicate impaired adrenal function, pituitary suppression, or chronic suppression from exogenous steroids. In males, this could lead to lower testosterone production and potential fatigue, reduced resilience to stress, or hormonal imbalance.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,MALE,ALL,10,120,gt,1.38,,,HIGH,ORANGE,0.2-1.38,ng/mL,ADRENAL HYPERANDROGENISM,17OH_HIGH,"High 17-OHP often points to impaired 21-hydroxylase activity, adrenal hyperplasia, or heightened adrenal stress response. In men, this may cause precursor buildup, altered cortisol synthesis, and increased androgen production. Clinically, it may manifest as hirsutism, acne, or METABOLIC HEALTH strain from adrenal overactivation.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,FOLLICULAR PHASE,10,120,between,0.13,0.89,,OPTIMAL,GREEN,0.13-0.89,ng/mL,,17OH_OPTIMAL,"Optimal 17-OHP levels during the follicular phase reflect balanced adrenal and ovarian steroidogenesis, with appropriate enzymatic conversion toward cortisol and androgen pathways. This indicates efficient regulation of stress response and reproductive hormone precursors, supporting menstrual cycle regularity, ovulation readiness, and systemic METABOLIC HEALTH stability.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,FOLLICULAR PHASE,10,120,gt,0.89,,,HIGH,ORANGE,0.13-0.89,ng/mL,ADRENAL HYPERANDROGENISM,17OH_HIGH,"High 17-OHP during the follicular phase suggests impaired 21-hydroxylase activity, adrenal hyperplasia, or increased androgen production. In women, this can cause menstrual irregularities, polycystic ovarian features, acne, or hirsutism. Persistent elevation reflects disrupted cortisol synthesis and precursor accumulation, with downstream effects on fertility and METABOLIC HEALTH balance.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,FOLLICULAR PHASE,10,120,lt,,0.13,,LOW,ORANGE,0.13-0.89,ng/mL,ADRENAL INSUFFICIENCY,17OH_LOW,"Low 17-OHP in the follicular phase generally indicates insufficient adrenal or ovarian output, possibly from suppressed steroidogenesis, chronic stress, or pituitary downregulation. This may contribute to reduced precursor availability for cortisol and androgens, potentially manifesting as fatigue, low libido, or reduced ovarian steroid balance impacting reproductive health.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,LUTEAL PHASE,10,120,between,0.16,2.05,,OPTIMAL,GREEN,0.16-2.05,ng/mL,,17OH_OPTIMAL,"Optimal 17-OHP in the luteal phase reflects healthy ovarian steroidogenesis and proper adrenal-ovarian interaction. It indicates robust luteal function, sufficient progesterone metabolism, and balanced cortisol-androgen precursor flow. This balance supports implantation potential, menstrual stability, and effective stress-response regulation without precursor accumulation.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,LUTEAL PHASE,10,120,gt,2.05,,,HIGH,ORANGE,0.16-2.05,ng/mL,ADRENAL HYPERANDROGENISM,17OH_HIGH,"High 17-OHP in the luteal phase suggests adrenal enzymatic inefficiency (often 21-hydroxylase), congenital adrenal hyperplasia, or excess androgenic drive. In women, this may cause shortened luteal phase, menstrual irregularity, acne, or hirsutism. Persistent high levels indicate precursor buildup with altered cortisol synthesis and excess androgen formation.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,LUTEAL PHASE,10,120,lt,,0.16,,LOW,ORANGE,0.16-2.05,ng/mL,ADRENAL INSUFFICIENCY,17OH_LOW,"Low 17-OHP in the luteal phase suggests inadequate corpus luteum activity or diminished adrenal contribution to progesterone metabolism. This may indicate luteal phase deficiency, potentially affecting implantation, menstrual regularity, and fertility. It can also reflect adrenal suppression or insufficient precursor availability for downstream cortisol and androgen pathways.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,MID-CYCLE PEAK,10,120,between,0.2,2.5,,OPTIMAL,GREEN,0.2-2.5,ng/mL,,17OH_OPTIMAL,"Optimal 17-OHP at mid-cycle indicates healthy ovarian steroidogenesis in response to the LH surge, supporting balanced progesterone and androgen precursor flow. This reflects robust ovulatory dynamics, preparing for luteal phase hormone production and ensuring reproductive potential, cycle regularity, and systemic hormonal equilibrium.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,MID-CYCLE PEAK,10,120,gt,2.5,,,HIGH,ORANGE,0.2-2.5,ng/mL,ADRENAL HYPERANDROGENISM,17OH_HIGH,"High mid-cycle 17-OHP may suggest excessive androgenic drive, impaired 21-hydroxylase activity, or adrenal hyper-responsiveness. In women, it may contribute to acne, hirsutism, shortened luteal transition, or PCOS-like features. Persistently high values suggest precursor accumulation with downstream imbalance in cortisol and androgen pathways.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,MID-CYCLE PEAK,10,120,lt,,0.2,,LOW,ORANGE,0.2-2.5,ng/mL,ADRENAL INSUFFICIENCY,17OH_LOW,"Low 17-OHP at mid-cycle suggests insufficient ovarian response to LH or reduced precursor activity in progesterone synthesis. This may reflect impaired ovulation, subtle luteal phase insufficiency risk, or suppressed adrenal contribution. Clinically, it could manifest as cycle irregularities, reduced fertility potential, or low resilience under METABOLIC HEALTH or stress load.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,POST MENOPAUSE,10,120,between,0.13,1,,OPTIMAL,GREEN,0.13-1,ng/mL,,17OH_OPTIMAL,"Optimal 17-OHP levels postmenopause reflect appropriate adrenal contribution to steroidogenesis with stable precursor balance. This indicates efficient cortisol synthesis and controlled androgenic output, maintaining METABOLIC HEALTH stability, immune regulation, and vascular health without excessive hormonal fluctuation. It represents an ideal steady state for post-reproductive physiology.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,POST MENOPAUSE,10,120,gt,1,,,HIGH,ORANGE,0.13-1,ng/mL,ADRENAL HYPERANDROGENISM,17OH_HIGH,"High 17-OHP postmenopause usually reflects adrenal enzymatic inefficiency (e.g., 21-hydroxylase deficiency), adrenal hyperplasia, or androgen excess. This may manifest as hirsutism, acne, METABOLIC HEALTH strain, or vascular risk. Persistently high levels can indicate precursor accumulation with disrupted cortisol synthesis and abnormal androgen activity in the absence of ovarian modulation.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
17 OH PROGESTERONE,17OH,HORMONES,METABOLIC HEALTH,FEMALE,POST MENOPAUSE,10,120,lt,,0.13,,LOW,ORANGE,0.13-1,ng/mL,ADRENAL INSUFFICIENCY,17OH_LOW,"Low 17-OHP postmenopause suggests diminished adrenal steroidogenesis or suppression of precursor flow toward cortisol and androgens. This may indicate adrenal insufficiency, chronic stress burnout, or pituitary downregulation. Functionally, it can contribute to fatigue, reduced resilience, mood imbalance, and impaired stress adaptation, since ovarian contribution is physiologically absent in this phase.",Helps diagnose adrenal disorders and manage hormonal imbalances.,THYROCARE
SERUM ALB/GLOBULIN RATIO,A/GR,VITAL ORGANS (LIVER),"NUTRITION, INFLAMMAGING, IMMUNITY",ALL,ALL,10,120,between,0.9,2.5,,OPTIMAL,GREEN,0.9-2.5,Ratio,,A/GR_OPTIMAL,"An optimal A/G ratio reflects balanced hepatic protein synthesis and immune protein regulation. It indicates adequate liver function, stable nutrition, and controlled inflammatory status. This balance supports vascular integrity, oncotic pressure, nutrient transport, and immune surveillance without excessive burden from immune activation or protein deficiency.","Compares albumin and globulin, evaluates liver, kidney, immunity.",THYROCARE
SERUM ALB/GLOBULIN RATIO,A/GR,VITAL ORGANS (LIVER),"NUTRITION, INFLAMMAGING, IMMUNITY",ALL,ALL,10,120,gt,2.5,,,HIGH,ORANGE,0.9-2.5,Ratio,Hypogammaglobulinemia,A/GR_HIGH,"A high A/G ratio generally indicates relatively elevated albumin or suppressed globulin levels. This may occur with immune suppression, hypogammaglobulinemia, or dehydration-induced hemoconcentration. Functionally, it may reflect reduced immunoglobulin production, impaired immune defense, or volume status imbalance. Clinical implications depend on hydration state and immune system function.","Compares albumin and globulin, evaluates liver, kidney, immunity.",THYROCARE
SERUM ALB/GLOBULIN RATIO,A/GR,VITAL ORGANS (LIVER),"NUTRITION, INFLAMMAGING, IMMUNITY",ALL,ALL,10,120,lt,,0.9,,LOW,ORANGE,0.9-2.5,Ratio,,A/GR_LOW,"A low A/G ratio often indicates reduced albumin synthesis or elevated globulins. This may arise from chronic liver disease, nephrotic protein loss, systemic inflammation, autoimmune conditions, or chronic infections. Functionally, it signals a shift toward immune/inflammatory dominance with reduced liver reserve and impaired protein homeostasis.","Compares albumin and globulin, evaluates liver, kidney, immunity.",THYROCARE
BASOPHILS - ABSOLUTE COUNT,ABAS,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, GUT HEALTH",ALL,ALL,10,120,between,0.02,0.1,,OPTIMAL,GREEN,0.02-0.1,X 10³ / µL,,ABAS_OPTIMAL,"An optimal basophil count reflects balanced immune surveillance, with sufficient histamine and cytokine reserve for allergic and inflammatory signaling without excess activation. It suggests healthy bone marrow function, adequate granulocyte turnover, and stable regulation of immune reactivity within normal physiological limits.","Measures basophil count, evaluates allergies, inflammation, blood disorders.",THYROCARE
BASOPHILS - ABSOLUTE COUNT,ABAS,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, GUT HEALTH",ALL,ALL,10,120,gt,0.1,,,HIGH,ORANGE,0.02-0.1,X 10³ / µL,,ABAS_HIGH,"High basophil count (basophilia) suggests heightened allergic response, chronic inflammation, or hematologic conditions such as myeloproliferative disorders. It may accompany chronic sinusitis, eczema, asthma, or parasitic infections. Functionally, it reflects exaggerated histamine/cytokine release and persistent immune system activation, potentially stressing vascular and inflammatory pathways.","Measures basophil count, evaluates allergies, inflammation, blood disorders.",THYROCARE
BASOPHILS - ABSOLUTE COUNT,ABAS,IMMUNITY,"INFLAMMAGING, CELLULAR HEALTH, GUT HEALTH",ALL,ALL,10,120,lt,,0.02,,LOW,ORANGE,0.02-0.1,X 10³ / µL,,ABAS_LOW,"Low basophil count (basopenia) often reflects transient redistribution during acute stress, hyperthyroidism, or steroid exposure. It may indicate suppressed bone marrow output or diminished granulocyte reserve, though usually not clinically concerning in isolation. Functionally, it suggests reduced allergic/inflammatory mediator availability and possible immune modulation imbalance.","Measures basophil count, evaluates allergies, inflammation, blood disorders.",THYROCARE
AVERAGE BLOOD GLUCOSE (ABG),ABG,METABOLIC HEALTH,"CELLULAR HEALTH, VITAL ORGANS (LIVER), VITAL ORGANS (KIDNEY), HORMONES, INFLAMMAGING, CARDIOVASCULAR, NERVOUS SYSTEM, NUTRITION, GUT HEALTH",ALL,ALL,10,120,between,90,120,,OPTIMAL,GREEN,90-120,mg/dL,,ABG_OPTIMAL,"Optimal ABG indicates effective glucose uptake and utilization, balanced insulin signaling, and METABOLIC HEALTH stability. It reflects good pancreatic function, efficient carbohydrate handling, and reduced glycation stress. Clinically, this suggests low risk for diabetes-related vascular, renal, or neurological complications and overall METABOLIC HEALTH resilience.","Reflects long-term blood sugar levels, supports diabetes management.",THYROCARE
AVERAGE BLOOD GLUCOSE (ABG),ABG,METABOLIC HEALTH,"CELLULAR HEALTH, VITAL ORGANS (LIVER), VITAL ORGANS (KIDNEY), HORMONES, INFLAMMAGING, CARDIOVASCULAR, NERVOUS SYSTEM, NUTRITION, GUT HEALTH",ALL,ALL,10,120,between,121,150,,ELEVATED,YELLOW,90-120,mg/dL,,ABG_ELEVATED,"Elevated ABG suggests early impairment in glucose handling, often reflecting insulin resistance, high glycemic load diet, or stress-related hyperglycemia. This intermediate state increases oxidative stress, low-grade inflammation, and subtle vascular changes, raising risk for progression to prediabetes and cardioMETABOLIC HEALTH disease if not addressed.","Reflects long-term blood sugar levels, supports diabetes management.",THYROCARE
